"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "CSS", "XML", "SCSS", "YAML", "comment", "blank", "total"
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/top-bar/top-barBackup.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/user-menu/user-menu.js", "JavaScript", 0, 0, 0, 70, 0, 0, 0, 0, 4, 5, 79
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/data.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/fake-result.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/fake-saved-palettes.js", "JavaScript", 0, 0, 0, 604, 0, 0, 0, 0, 0, 1, 605
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/firebase/firebase.utils.js", "JavaScript", 0, 0, 0, 82, 0, 0, 0, 0, 5, 11, 98
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/index.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/index.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 3, 3, 19
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/logo.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/account/account.js", "JavaScript", 0, 0, 0, 73, 0, 0, 0, 0, 3, 8, 84
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/sign-in/sign-in.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 8, 76
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/splash/splash.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
